status,vencedor_nome,vencedor_estrategia,turnos_vencedor,cartas_puxadas,tempo_s,estrategias_jogadores,cartas_finais
Vencedor,Douglas,strategy_optimized_discard,13,6,0.0002560615539550781,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 7, 'Bia': 5, 'Douglas': 0}"
Vencedor,Douglas,strategy_optimized_discard,7,0,0.0001964569091796875,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 9, 'Bia': 11, 'Douglas': 0}"
Vencedor,Bia,strategy_conservation,23,13,0.0003764629364013672,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 3, 'Bia': 0, 'Douglas': 4}"
Vencedor,Júlio,strategy_offensive,11,2,0.00019073486328125,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 0, 'Bia': 2, 'Douglas': 9}"
Vencedor,Júlio,strategy_offensive,11,4,0.00015687942504882812,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 0, 'Bia': 2, 'Douglas': 3}"
Vencedor,Bia,strategy_conservation,17,10,0.0003299713134765625,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 11, 'Bia': 0, 'Douglas': 6}"
Vencedor,Douglas,strategy_optimized_discard,9,1,0.00029754638671875,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 8, 'Bia': 6, 'Douglas': 0}"
Vencedor,Bia,strategy_conservation,7,0,0.0001430511474609375,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 9, 'Bia': 0, 'Douglas': 7}"
Vencedor,Douglas,strategy_optimized_discard,11,4,0.00024962425231933594,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 8, 'Bia': 8, 'Douglas': 0}"
Vencedor,Bia,strategy_conservation,17,10,0.0003616809844970703,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 10, 'Bia': 0, 'Douglas': 5}"
Vencedor,Douglas,strategy_optimized_discard,17,9,0.0003173351287841797,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 3, 'Bia': 5, 'Douglas': 0}"
Vencedor,Douglas,strategy_optimized_discard,7,0,0.00013494491577148438,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 7, 'Bia': 10, 'Douglas': 0}"
Vencedor,Bia,strategy_conservation,11,4,0.0002377033233642578,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 5, 'Bia': 0, 'Douglas': 15}"
Vencedor,Júlio,strategy_offensive,39,19,0.0004639625549316406,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 0, 'Bia': 5, 'Douglas': 1}"
Vencedor,Bia,strategy_conservation,11,4,0.00021529197692871094,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 8, 'Bia': 0, 'Douglas': 2}"
Vencedor,Douglas,strategy_optimized_discard,9,1,0.00019073486328125,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 4, 'Bia': 8, 'Douglas': 0}"
Vencedor,Bia,strategy_conservation,11,4,0.0002396106719970703,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 5, 'Bia': 0, 'Douglas': 9}"
Vencedor,Douglas,strategy_optimized_discard,7,0,0.00015020370483398438,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 1, 'Bia': 5, 'Douglas': 0}"
Vencedor,Bia,strategy_conservation,9,2,0.00019311904907226562,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 7, 'Bia': 0, 'Douglas': 7}"
Vencedor,Douglas,strategy_optimized_discard,9,2,0.0002148151397705078,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 9, 'Bia': 4, 'Douglas': 0}"
Vencedor,Bia,strategy_conservation,37,20,0.0004825592041015625,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 2, 'Bia': 0, 'Douglas': 4}"
Vencedor,Bia,strategy_conservation,23,11,0.00035858154296875,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 4, 'Bia': 0, 'Douglas': 4}"
Vencedor,Bia,strategy_conservation,9,1,0.00013709068298339844,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 4, 'Bia': 0, 'Douglas': 5}"
Vencedor,Douglas,strategy_optimized_discard,11,4,0.00022101402282714844,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 5, 'Bia': 12, 'Douglas': 0}"
Vencedor,Bia,strategy_conservation,7,0,9.465217590332031e-05,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 8, 'Bia': 0, 'Douglas': 5}"
Vencedor,Douglas,strategy_optimized_discard,7,0,8.344650268554688e-05,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 2, 'Bia': 6, 'Douglas': 0}"
