status,vencedor_nome,vencedor_estrategia,turnos_vencedor,cartas_puxadas,tempo_s,estrategias_jogadores,cartas_finais
Vencedor,Bia,strategy_conservation,7,0,0.0003516674041748047,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard', 'Daniel': 'strategy_offensive', 'Jorge': 'strategy_conservation', 'Rodrigo': 'strategy_optimized_discard'}","{'Júlio': 14, 'Bia': 0, 'Douglas': 7, 'Daniel': 4, 'Jorge': 2, 'Rodrigo': 1}"
Vencedor,Douglas,strategy_optimized_discard,7,0,0.0002636909484863281,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard', 'Daniel': 'strategy_offensive', 'Jorge': 'strategy_conservation', 'Rodrigo': 'strategy_optimized_discard'}","{'Júlio': 10, 'Bia': 2, 'Douglas': 0, 'Daniel': 5, 'Jorge': 4, 'Rodrigo': 3}"
Vencedor,Rodrigo,strategy_optimized_discard,7,0,0.00023937225341796875,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard', 'Daniel': 'strategy_offensive', 'Jorge': 'strategy_conservation', 'Rodrigo': 'strategy_optimized_discard'}","{'Júlio': 7, 'Bia': 3, 'Douglas': 9, 'Daniel': 2, 'Jorge': 6, 'Rodrigo': 0}"
Vencedor,Rodrigo,strategy_optimized_discard,7,0,0.00022220611572265625,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard', 'Daniel': 'strategy_offensive', 'Jorge': 'strategy_conservation', 'Rodrigo': 'strategy_optimized_discard'}","{'Júlio': 10, 'Bia': 2, 'Douglas': 5, 'Daniel': 4, 'Jorge': 9, 'Rodrigo': 0}"
Vencedor,Daniel,strategy_offensive,13,4,0.00042557716369628906,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard', 'Daniel': 'strategy_offensive', 'Jorge': 'strategy_conservation', 'Rodrigo': 'strategy_optimized_discard'}","{'Júlio': 5, 'Bia': 3, 'Douglas': 3, 'Daniel': 0, 'Jorge': 4, 'Rodrigo': 5}"
Vencedor,Douglas,strategy_optimized_discard,7,0,0.0002219676971435547,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard', 'Daniel': 'strategy_offensive', 'Jorge': 'strategy_conservation', 'Rodrigo': 'strategy_optimized_discard'}","{'Júlio': 5, 'Bia': 6, 'Douglas': 0, 'Daniel': 7, 'Jorge': 5, 'Rodrigo': 6}"
Vencedor,Daniel,strategy_offensive,13,5,0.0003407001495361328,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard', 'Daniel': 'strategy_offensive', 'Jorge': 'strategy_conservation', 'Rodrigo': 'strategy_optimized_discard'}","{'Júlio': 6, 'Bia': 1, 'Douglas': 4, 'Daniel': 0, 'Jorge': 4, 'Rodrigo': 5}"
Vencedor,Douglas,strategy_optimized_discard,13,6,0.0004112720489501953,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard', 'Daniel': 'strategy_offensive', 'Jorge': 'strategy_conservation', 'Rodrigo': 'strategy_optimized_discard'}","{'Júlio': 5, 'Bia': 8, 'Douglas': 0, 'Daniel': 4, 'Jorge': 4, 'Rodrigo': 3}"
Vencedor,Daniel,strategy_offensive,17,5,0.0004868507385253906,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard', 'Daniel': 'strategy_offensive', 'Jorge': 'strategy_conservation', 'Rodrigo': 'strategy_optimized_discard'}","{'Júlio': 1, 'Bia': 2, 'Douglas': 2, 'Daniel': 0, 'Jorge': 9, 'Rodrigo': 1}"
Vencedor,Júlio,strategy_offensive,13,3,0.0005555152893066406,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard', 'Daniel': 'strategy_offensive', 'Jorge': 'strategy_conservation', 'Rodrigo': 'strategy_optimized_discard'}","{'Júlio': 0, 'Bia': 4, 'Douglas': 1, 'Daniel': 4, 'Jorge': 2, 'Rodrigo': 9}"
